Rank	Citation	Before	Hit	After	
127	B of M Mosiah 4:6	continue   in   the	faith	even   unto   the	
128	B of M Alma 5:15	do   ye   exercise	faith	in   the   redemption	
129	B of M 1 Ne. 3:21	they   might   be	faithful	in   keeping   the	
130	B of M Alma 48:15	if   they   were	faithful	in   keeping   the	
131	B of M Alma 1:25	fast   in   the	faith	nevertheless   they   were	
132	B of M Mosiah 10:13	nephi   was   more	faithful	in   keeping   the	
133	B of M 1 Ne. 3:16	let   us   be	faithful	in   keeping   the	
134	B of M 1 Ne. 4:1	let   us   be	faithful	in   keeping   the	
135	B of M Hel. 6:1	steadiness   in   the	faith	for   behold   there	
136	B of M 2 Ne. 9:23	name   having   perfect	faith	in   the   holy	
137	B of M Alma 50:22	those   who   were	faithful	in   keeping   the	
138	B of M Alma 8:15	thou   hast   been	faithful	in   keeping   the	
139	B of M Moro. 10:7	according   to   the	faith	of   the   children	
140	B of M Alma 32:40	an   eye   of	faith	to   the   fruit	
141	B of M Alma 62:1	because   of   the	faithfulness	of   pahoran   that	
142	B of M Morm. 3:12	it   was   without	faith	because   of   the	
143	B of M Ether 12:8	because   of   the	faith	of   men   he	
144	B of M Alma 18:10	because   of   the	faithfulness	of   ammon   saying	
145	B of M Alma 44:4	is   the   true	faith	of   god   yea	
146	B of M Mosiah 4:3	of   the   exceeding	faith	which   they   had	
147	B of M 2 Ne. 6:11	prayers   of   the	faithful	jacob   they   shall	
148	B of M Moro. 8:3	the   endurance   of	faith	on   his   name	
149	B of M Moro. 3:3	the   endurance   of	faith	on   his   name	
150	B of M 3 Ne. 7:16	of   sins   through	faith	on   the   lord	
151	B of M Alma 57:27	this   was   the	faith	of   these   of	
152	B of M 2 Ne. 26:15	prayers   of   the	faithful	shall   be   heard	
153	B of M 3 Ne. 26:11	will   try   the	faith	of   my   people	
154	B of M 2 Ne. 27:13	words   of   the	faithful	should   speak   as	
155	B of M Ether 12:29	according   to   their	faith	for   the   brother	
156	B of M Alma 37:33	devil   with   their	faith	on   the   lord	
157	B of M Alma 48:7	people   to   be	faithful	unto   the   lord	
158	B of M Mosiah 2:41	they   hold   out	faithful	to   the   end	
159	B of M Alma 32:36	only   exercised   your	faith	to   plant   the	
160	B of M Hel. 15:7	leadeth   them   to	faith	on   the   lord	
161	B of M Ether 12:6	the   world   that	faith	is   things   which	
162	B of M Ether 12:17	it   was   by	faith	that   the   three	
163	B of M Moro. 8:25	baptism   cometh   by	faith	unto   the   fulfilling	
164	B of M Ether 1:38	let   us   be	faithful	unto   the   lord	
165	B of M Mosiah 5:4	it   is   the	faith	which   we   have	
166	B of M Alma 7:14	ye   may   have	faith	on   the   lamb	
167	B of M Alma 34:28	do   deny   the	faith	therefore   if   ye	
168	B of M 1 Ne. 10:17	he   received   by	faith	on   the   son	
169	B of M Ether 12:11	god   wherefore   by	faith	was   the   law	
170	B of M Ether 12:21	had   obtained   by	faith	the   lord   could	
171	B of M 2 Ne. 1:10	all   things   by	faith	having   all   the	
172	B of M Alma 5:13	behold   they   were	faithful	until   the   end	
173	B of M 3 Ne. 7:18	great   was   his	faith	on   the   lord	
174	B of M Alma 13:29	all   long-suffering   having	faith	on   the   lord	
175	B of M Morm. 9:37	them   forever   through	faith	on   the   name	
176	B of M Ether 12:12	there   be   no	faith	among   the   children	
177	B of M Alma 19:10	been   such   great	faith	among   all   the	
178	B of M Jacob 7:5	me   from   the	faith	notwithstanding   the   many	
179	B of M Alma 46:15	the   church   were	faithful	yea   all   those	
180	B of M Alma 57:26	of   their   exceeding	faith	in   that   which	
181	B of M 1 Ne. 12:11	because   of   their	faith	in   him   nephi₁	
182	B of M 3 Ne. 9:20	because   of   their	faith	in   me   at	
183	B of M Moro. 7:41	because   of   your	faith	in   him   according	
184	B of M Hel. 5:47	because   of   your	faith	in   my   well	
185	B of M Enos 1:8	because   of   thy	faith	in   christ   whom	
186	B of M Alma 14:28	according   to   their	faith	which   was   in	
187	B of M Alma 37:40	according   to   their	faith	in   god   therefore	
188	B of M 3 Ne. 19:28	in   me   through	faith	on   their   words	
189	B of M Morm. 8:24	he   knoweth   their	faith	for   in   his	
190	B of M Alma 15:10	according   to   his	faith	which   is   in	
191	B of M Alma 14:26	according   to   our	faith	which   is   in	
192	B of M 1 Ne. 7:17	according   to   my	faith	which   is   in	
193	B of M Moro. 7:39	that   ye   have	faith	in   christ   because	
194	B of M Moro. 7:26	is   good   in	faith	believing   that   ye	
195	B of M Mosiah 4:21	is   right   in	faith	believing   that   ye	
196	B of M Moro. 7:32	men   may   have	faith	in   christ   that	
197	B of M Alma 22:16	his   name   in	faith	believing   that   ye	
198	B of M 1 Ne. 15:11	ask   me   in	faith	believing   that   ye	
199	B of M Enos 1:15	shall   ask   in	faith	believing   that   ye	
200	B of M 1 Ne. 7:12	that   they   exercise	faith	in   him   wherefore	
201	B of M Ether 12:20	great   was   his	faith	in   god   that	
202	B of M Alma 52:10	he   would   be	faithful	in   maintaining   that	
203	B of M Ether 12:7	that   some   had	faith	in   him   for	
204	B of M Ether 8:13	ye   will   be	faithful	unto   me   in	
205	B of M Hel. 5:41	ye   shall   have	faith	in   christ   who	
206	B of M Moro. 7:39	ye   have   not	faith	in   him   then	
207	B of M Moro. 7:33	ye   will   have	faith	in   me   ye	
208	B of M Moro. 7:38	they   shall   have	faith	in   his   name	
209	B of M Moro. 7:28	they   who   have	faith	in   him   will	
210	B of M Moro. 7:26	were   saved   by	faith	in   his   name	
211	B of M Ether 12:23	in   word   by	faith	but   thou   hast	
212	B of M Ether 12:7	after   they   had	faith	in   him   wherefore	
213	B of M Ether 4:7	they   shall   exercise	faith	in   me   moroni₂	
214	B of M 2 Ne. 31:19	christ   with   unshaken	faith	in   him   relying	
215	B of M Moro. 10:4	real   intent   having	faith	in   christ   he	
216	B of M Jacob 7:3	i   jacob   had	faith	in   christ   who	
217	B of M 1 Ne. 1:20	because   of   their	faith	to   make   them	
218	B of M 3 Ne. 19:29	because   of   their	faith	that   they   may	
219	B of M 2 Ne. 3:21	because   of   their	faith	their   words   shall	
220	B of M Alma 13:4	account   of   their	faith	while   others   would	
221	B of M Moro. 7:21	come   to   that	faith	of   which   i	
222	B of M Ether 12:10	it   was   by	faith	that   they   of	
223	B of M Alma 19:10	of   thy   exceeding	faith	i   say   unto	
224	B of M 1 Ne. 2:19	because   of   thy	faith	for   thou   hast	
225	B of M Ether 3:9	because   of   thy	faith	thou   hast   seen	
226	B of M 2 Ne. 25:25	because   of   our	faith	yet   we   keep	
227	B of M Ether 12:6	trial   of   your	faith	for   it   was	
228	B of M Alma 44:9	not   of   your	faith	we   do   not	
229	B of M Hel. 8:15	of   god   with	faith	having   a   contrite	
230	B of M Ether 12:4	hope   cometh   of	faith	maketh   an   anchor	
231	B of M Alma 32:27	a   particle   of	faith	yea   even   if	
232	B of M 3 Ne. 13:30	not   of   little	faith	therefore   take   no	
233	B of M Alma 57:21	according   to   their	faith	it   was   done	
234	B of M Enos 1:18	according   to   their	faith	for   their   faith	
235	B of M 2 Ne. 26:13	according   to   their	faith	but   behold   i	
236	B of M 3 Ne. 5:14	according   to   their	faith	should   make   a	
237	B of M Alma 48:15	this   was   their	faith	that   by   so	
238	B of M 3 Ne. 1:8	know   that   their	faith	had   not   been	
239	B of M Enos 1:18	faith   for   their	faith	was   like   unto	
240	B of M Ether 12:18	until   after   their	faith	wherefore   they   first	
241	B of M Ether 12:12	until   after   their	faith	behold   it   was	
242	B of M Alma 34:17	to   exercise   your	faith	unto   repentance   that	
243	B of M Alma 37:40	if   they   had	faith	to   believe   that	
244	B of M 1 Ne. 7:13	that   we   are	faithful	to   him   we	
245	B of M 2 Ne. 18:2	took   unto   me	faithful	witnesses   to   record	
246	B of M Alma 7:6	with   an   everlasting	faith	which   is   to	
247	B of M Alma 32:21	said   concerning   faith	faith	is   not   to	
248	B of M Alma 34:4	have   so   much	faith	as   even   to	
249	B of M Alma 5:12	according   to   his	faith	there   was   a	
250	B of M Alma 19:23	according   to   thy	faith	mormon   therefore   mosiah	
251	B of M Enos 1:11	these   words   my	faith	began   to   be	
252	B of M Enos 1:8	go   to   thy	faith	hath   made   thee	
253	B of M 2 Ne. 3:24	god   with   exceeding	faith	to   work   mighty	
254	B of M Alma 34:16	him   that   has	faith	unto   repentance   is	
255	B of M Alma 34:16	that   exercises   no	faith	unto   repentance   is	
256	B of M Ether 4:19	that   is   found	faithful	unto   my   name	
257	B of M Hel. 9:16	us   unto   his	faith	that   he   might	
258	B of M Ether 12:22	it   is   by	faith	that   my   fathers	
259	B of M Moro. 7:37	it   is   by	faith	that   miracles   are	
260	B of M Ether 12:11	it   is   by	faith	that   it   hath	
261	B of M Moro. 7:37	it   is   by	faith	that   angels   appear	
262	B of M 3 Ne. 17:8	see   that   your	faith	is   sufficient   that	
263	B of M 1 Ne. 21:7	lord   that   is	faithful	isaiah   thus   saith	
264	B of M Ether 12:7	it   was   by	faith	that   christ   showed	
265	B of M Ether 12:3	them   that   by	faith	all   things   are	
266	B of M Alma 32:26	i   said   concerning	faith	that   it   was	
267	B of M Mosiah 27:14	prayed   with   much	faith	concerning   thee   that	
268	B of M Mosiah 8:18	that   man   through	faith	might   work   mighty	
269	B of M Moro. 7:40	can   attain   unto	faith	save   ye   shall	
270	B of M Alma 32:29	this   increase   your	faith	i   say   unto	
271	B of M Alma 9:27	unto   repentance   through	faith	on   his   name	
272	B of M Alma 25:16	a   hope   through	faith	unto   eternal   salvation	
273	B of M Alma 7:17	now   because   your	faith	is   strong   concerning	
274	B of M Alma 32:18	ask   is   this	faith	behold   i   say	
275	B of M Alma 32:21	i   said   concerning	faith	faith   is   not	
276	B of M Alma 32:26	any   more   than	faith	is   a   perfect	
277	B of M Alma 32:36	lay   aside   your	faith	for   ye   have	
278	B of M Alma 32:21	if   ye   have	faith	ye   hope   for	
279	B of M Moro. 10:23	if   ye   have	faith	ye   can   do	
280	B of M Moro. 10:21	ye   have   not	faith	neither   can   ye	
281	B of M Ether 12:9	will   but   have	faith	behold   it   was	
282	B of M Ether 12:30	after   men   have	faith	for   thus   didst	
283	B of M Moro. 7:42	a   man   have	faith	he   must   needs	
284	B of M 3 Ne. 19:35	jesus christ   so   great	faith	have   i   never	
285	B of M Alma 32:30	will   strengthen   your	faith	for   ye   will	
286	B of M Alma 44:3	destroy   this   our	faith	now   ye   see	
287	B of M Alma 32:41	grow   by   your	faith	with   great   diligence	
288	B of M Alma 44:5	you   by   our	faith	by   our   religion	
289	B of M Ether 12:16	wrought   them   by	faith	even   those   who	
290	B of M Alma 32:30	this   strengthen   your	faith	yea   it   will	
291	B of M Mosiah 5:7	are   changed   through	faith	on   his   name	
292	B of M Mosiah 3:9	men   even   through	faith	on   his   name	
293	B of M Ether 12:19	were   many   whose	faith	was   so   exceedingly	
294	B of M Ether 12:30	had   not   had	faith	it   would   not	
295	B of M Moro. 7:42	hope   for   without	faith	there   cannot   be	
296	B of M Moro. 10:20	there   must   be	faith	there   must   also	
297	B of M 2 Ne. 1:31	thou   hast   been	faithful	thy   seed   shall	
298	B of M Ether 12:37	thou   hast   been	faithful	wherefore   thy   garments	
299	B of M Moro. 8:14	he   hath   neither	faith	hope   nor   charity	
300	B of M Ether 3:9	with   such   exceeding	faith	as   thou   hast	
301	B of M Alma 13:3	exercising   exceedingly   great	faith	are   called   with	
302	B of M Alma 2:30	exercised   with   much	faith	cried   saying   alma₂	
303	B of M Alma 18:10	has   been   so	faithful	as   this   man	
